Taxon thornhill(AC-VPM) this is the name that will match with the phylogeny in thornhill,thornhill_bionomial_tip_match,UniqueID
Angophora costata subsp. costata,angophora costata,2073
Angophora costata subsp. costata,angophora costata,6796
Angophora costata subsp. euryphylla,angophora costata,2082
Angophora costata subsp. euryphylla,angophora costata,3206
Angophora floribunda,angophora floribunda,2551
Angophora hispida,angophora hispida,6746
Angophora hispida,angophora hispida,Ahisp_1
Angophora inopina,angophora inopina,6258
NA,angophora costata,2103
Angophora melanoxylon,angophora melanoxylon,2552
Angophora subvelutina,angophora subvelutina,3204
Corymbia abbreviata,corymbia abbreviata,1932
Corymbia abergiana,corymbia abergiana,1303
NA,corymbia arenaria,2484
Corymbia aureola,corymbia aureola,2542
Corymbia bella,corymbia bella,4204
Corymbia bleeseri,corymbia bleeseri,1923
Corymbia bloxsomei,corymbia bloxsomei,687
Corymbia brachycarpa,corymbia brachycarpa,2534
Corymbia brachycarpa,corymbia brachycarpa,5141
Corymbia bunites,corymbia bunites,711
Corymbia cadophora subsp. cadophora,corymbia cadophora,1905
Corymbia cadophora subsp. pliantha,corymbia cadophora,1929
Corymbia cadophora subsp. polychroma ,corymbia cadophora,5858
Corymbia calophylla,corymbia calophylla,229
Corymbia calophylla,corymbia calophylla,1160
Corymbia calophylla,corymbia calophylla,3421
Corymbia calophylla,corymbia calophylla,6707
NA,corymbia aspera,7230
NA,corymbia dichromophloia,1335
NA,corymbia dichromophloia,4192
NA,corymbia papillosa,2474
Corymbia chippendalei,corymbia chippendalei,2695
Corymbia chippendalei,corymbia chippendalei,4264
Corymbia chippendalei,corymbia chippendalei,4288
NA,corymbia haematoxylon,2213
NA,corymbia haematoxylon,5076
NA,corymbia haematoxylon,7227
Corymbia citriodora,corymbia citriodora,702
NA,corymbia brachycarpa,2541
Corymbia clarksoniana,corymbia clarksoniana,2511
NA,corymbia erythrophloia,1940
NA,corymbia erythrophloia,5851
Corymbia collina,corymbia collina,1915
Corymbia greeniana,corymbia greeniana,1900
Corymbia greeniana,corymbia greeniana,1906
Corymbia deserticola subsp. deserticola,corymbia deserticola,542
Corymbia deserticola subsp. deserticola,corymbia deserticola,4267
Corymbia deserticola subsp. deserticola,corymbia deserticola,5750
Corymbia deserticola subsp. mesogeotica,corymbia deserticola,2439
NA,corymbia dichromophloia,2463
NA,corymbia dichromophloia,1928
Corymbia dimorpha,corymbia dimorpha,2528
Corymbia clarksoniana,corymbia clarksoniana,2550
NA,corymbia dichromophloia,1907
Corymbia ellipsoidea,corymbia ellipsoidea,5112
Corymbia eremaea subsp. eremaea,corymbia eremaea,1210
Corymbia eremaea subsp. eremaea,corymbia eremaea,1708
NA,corymbia eremaea,1208
Corymbia erythrophloia,corymbia erythrophloia,2530
Corymbia eximia,corymbia eximia,632
Corymbia ferriticola,corymbia ferriticola,2752
Corymbia ferruginea subsp. ferruginea,corymbia ferruginea,2466
Corymbia ferruginea subsp. stypophylla,corymbia ferruginea,1336
Corymbia ferruginea subsp. stypophylla,corymbia ferruginea,2443
Corymbia ficifolia,corymbia ficifolia,1138
Corymbia ficifolia,corymbia ficifolia,3761
Corymbia ficifolia,corymbia ficifolia,5523
Corymbia foelscheana,corymbia foelscheana,2470
Corymbia grandifolia subsp. lamprocardia,corymbia grandifolia,2461
Corymbia grandifolia subsp. longa,corymbia grandifolia,4215
Corymbia gummifera,corymbia gummifera,1228
Corymbia haematoxylon,corymbia haematoxylon,1147
Corymbia hamersleyana,corymbia hamersleyana,1190
Corymbia hamersleyana,corymbia hamersleyana,4260
Corymbia hendersonii,corymbia hendersonii,701
Corymbia intermedia,corymbia intermedia,708
Corymbia jacobsiana,corymbia jacobsiana,2464
Corymbia latifolia,corymbia latifolia,1922
Corymbia leichhardtii,corymbia leichhardtii,1277
Corymbia lenziana,corymbia lenziana,537
Corymbia lenziana,corymbia lenziana,5733
Corymbia leptoloma,corymbia leptoloma,1302
Corymbia ligans subsp. ligans,corymbia ligans,2527
Corymbia ligans subsp. ligans,corymbia ligans,2504
Corymbia maculata,corymbia maculata,1752
Corymbia henryi,corymbia henryi,1259
Corymbia henryi,corymbia henryi,2092
